"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"WAITER","z",2.19511,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"WRITE","slash",1.64581,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",38,3,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"ROAD","z",1.29861,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"STARS","z",0.877975,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"SHEEP","z",1.24944,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",3,3,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"FIRST","slash",0.767665,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"WOOD","slash",0.612415,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",7,3,NA,"Related","TOPIC","SUBJECT",NA,"2",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"MILK","slash",0.615425,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",6,3,NA,"Identical","TOWN",NA,NA,"3",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"JEANS","slash",0.560415,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",34,4,NA,"Related","DOZE","SLEEP",NA,"5","3","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"HOTEL","z",0.751795,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"THIEF","z",1.002295,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"FIND","z",0.85122,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",27,1,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"SHARK","z",2.86773,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"WHOLE","slash",0.49768,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"SING","slash",0.58105,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",41,1,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"BREAK","slash",0.568315,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",28,1,NA,NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"LEAVES","slash",0.56456,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"BELL","z",1.899455,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",7,1,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"HEAR","z",0.963285,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",31,1,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"PLANT","slash",0.86478,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"BALLET","z",0.81484,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"TWELVE","z",0.797015,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"CHOOSE","slash",0.966145,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",22,1,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"PURPOSE","slash",0.72803,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",20,2,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"POTATO","slash",1.347335,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",37,2,NA,NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"MEAN","slash",0.883185,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"ENTER","slash",0.74544,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"CLOSE","slash",0.51551,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"REAL","slash",0.670155,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",13,2,NA,NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"BUSH","z",0.314265,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",11,2,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"STAMP","z",0.56235,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",26,2,NA,NA,NA,NA,"POSTAGE",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"YEAR","z",0.38321,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",23,1,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"THROW","slash",0.780105,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"BEACH","z",0.628675,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"JUMP","slash",0.7362,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"GEEK","slash",0.581245,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"WHERE","slash",0.61611,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"STING","z",0.91929,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",11,3,NA,NA,NA,NA,"WASP",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"MAYBE","slash",0.633685,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",38,1,NA,NA,NA,NA,"MIGHT",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"MINUS","z",0.74537,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"GLASSES","slash",0.731135,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",6,4,NA,"Related","SCRATCH","ITCH",NA,"4",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"SILVER","z",0.91493,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",12,2,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"BRAIN","slash",1.11616,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",39,3,NA,NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"ALLOW","slash",0.729795,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",38,4,NA,NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"HEAD","slash",0.827645,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",24,3,NA,NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"ROCK","slash",0.61438,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"HUNGER","z",0.566115,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"DESERT","z",0.43385,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",18,1,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"BANK","z",0.54977,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",37,4,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"PROPER","slash",0.89991,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",1,3,NA,NA,NA,NA,"PRIM",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"MONKEY","slash",0.767695,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",31,4,NA,NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"DRAW","slash",1.36739,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",30,2,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"MATH","slash",0.7784,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",35,3,NA,NA,NA,NA,"ALGEBRA",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"SHIRT","z",0.4814,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",42,3,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"LARGE","slash",1.199835,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",29,4,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"SMOKE","z",1.546705,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"SCISSORS","z",0.713025,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",27,2,NA,NA,NA,NA,"SHEARS",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"PLAN","slash",1.016715,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",22,4,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"HATE","slash",0.64725,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",16,2,NA,"Identical","ANNOY",NA,NA,"2","4","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"PHONE","slash",1.83584,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"PROBLEM","slash",0.85152,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",29,1,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"PLANE ","slash",0.68271,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",18,2,NA,NA,NA,NA,"AIRPORT",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"BOARD","slash",0.817085,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",6,1,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"PIECE","slash",0.533015,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",9,2,NA,"Related","CIRCUS","CLOWN",NA,"5",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"MINOR","slash",0.983865,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"GRAVE","z",0.764765,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",30,3,NA,NA,NA,NA,"TOMB",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"SOUTH","z",0.78475,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"SMELL","z",0.52958,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",15,1,NA,NA,NA,NA,"PERFUME",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"SHOES","slash",0.613635,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"CLASS","z",1.519205,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",25,3,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"VERB","z",0.778375,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"MINIMUM","z",3.14712,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",8,4,NA,NA,NA,NA,"MAXIMUM",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"GHOST","slash",0.601915,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"DISAGREE","slash",1.27941,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",5,2,NA,"Unrelated","TEETH",NA,NA,"4",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"SHIP","slash",0.53072,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",3,1,NA,"Identical","NONE",NA,NA,"3,6",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"FINGER","z",0.835455,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"GUITAR","z",1.40396,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"MOVE","slash",0.715355,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",5,3,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"CLIMB","slash",0.56725,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",2,3,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"SONG","slash",0.515445,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"TEST","slash",0.484295,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"RULE","slash",0.697325,"PC",1,"2020-11-12_13h46.54.941","DelayedExp","2020.1.3",60,"Studied",16,3,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
