"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"KIDNAP","z",3.59617,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"CHILD","slash",2.48115,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",37,4,NA,NA,NA,NA,"ADULT",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"PACKAGE","slash",1.367915,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",21,4,NA,"Identical","DRUGS",NA,NA,"10",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"RULE","slash",0.917025,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",3,1,NA,NA,NA,NA,"POLICY",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"CHOOSE","slash",1.11443,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",19,3,NA,"Related","SEARCH","FIND","PICK","11",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","CrossTrialPrimed","Related"
"THIEF","slash",1.099495,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"CARRY","z",1.029575,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",6,2,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"STRANGE","z",1.532525,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",14,3,NA,NA,NA,NA,"BIZZARE",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"CLOSE","slash",1.11344,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"EXPLODE","z",1.430965,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",28,1,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"ITCH","slash",0.88146,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",24,2,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"EFFECT","slash",0.933495,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",4,2,NA,"Related","MAXIMUM","MINIMUM",NA,"15",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"TOUCH","slash",0.765345,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",30,1,NA,NA,NA,NA,"CARESS",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"SHEEP","slash",1.093815,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",27,1,NA,"Unrelated","NEPHEW",NA,NA,"9",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"TOOTH","slash",1.036375,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",18,1,NA,"Identical","NIGHTS",NA,NA,"13",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"MAGIC","slash",0.99663,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",10,3,NA,"Identical","SHIP",NA,NA,"4",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"GRAND","slash",0.719795,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",8,1,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"LETTER","z",0.99771,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",42,2,NA,NA,NA,NA,"MAIL",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"GAME","slash",1.001625,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",40,3,NA,"firstword","firstword",NA,NA,"1",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","firstword","Unprimed",NA
"SHALLOW","z",0.997955,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",42,4,NA,NA,NA,NA,"DEEP",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"DUSK","z",1.43571,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"NECK","z",0.915965,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",12,4,NA,NA,NA,NA,"THROAT",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"SELF","z",1.25096,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",15,1,NA,NA,NA,NA,"ESTEEM",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"ANIMAL","slash",0.867185,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"DOLLAR","slash",0.581545,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"SMOOTH","slash",0.602035,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"WRITE","slash",0.665395,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",22,1,NA,NA,NA,NA,"ESSAY",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"TRAILER","z",1.232355,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",8,4,NA,NA,NA,NA,"TRACTOR",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"NOISE","slash",1.086135,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"DOCTOR","slash",0.647125,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",29,1,NA,"Unrelated","SELLER",NA,NA,"8",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"BALLET","slash",0.632975,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"STUPID","slash",0.98097,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",34,1,NA,"Unrelated","STAIRS",NA,NA,"7",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"PLAN","slash",0.69947,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",20,2,NA,"Related","DIGNITY","PRIDE",NA,"10",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"EGGS","slash",1.498945,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"RAIN","z",1.216275,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",30,4,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"ROCK","slash",0.796395,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"CORAL","slash",1.59544,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"WEIGHT","slash",1.650585,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"ARMS","slash",0.84901,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",17,1,NA,NA,NA,NA,"LEGS",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"BIRD","slash",0.98523,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"KILL","",NA,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"BALL ","",NA,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",21,2,NA,NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"CHURCH","slash",2.20031,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",41,3,NA,NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"INHALE","z",1.936,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"DIRT","z",2.080925,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"QUIET","z",2.099975,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",10,4,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"FIND","slash",0.615345,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",21,3,NA,NA,NA,NA,"SEARCH",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"FISH","slash",0.41375,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"PRESENT","z",0.40038,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"SOUTH","slash",0.26806,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"ENTER","slash",0.250835,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"PEPPER","slash",0.247075,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"GLORY","z",0.33419,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"TOWN","slash",0.236385,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",31,1,NA,NA,NA,NA,"CITY",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"LEAVES","z",0.234135,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"UNCLE","z",0.21698,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"SLOW","slash",0.24986,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"LAWYER","slash",0.331995,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"LEMON","slash",0.21612,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"TIRED","z",0.2166,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",16,2,NA,"Unrelated","BELOW",NA,NA,"11",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"MINOR","z",0.180415,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"PLANE ","slash",0.19931,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",14,4,NA,NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"TOCK","slash",0.181605,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",29,4,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"SONG","z",0.26518,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"BANK","slash",0.209355,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",30,2,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"SCISSORS","slash",0.17991,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",33,4,NA,NA,NA,NA,"SHEARS",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"MANY","slash",0.26798,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",39,4,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"TEETH","z",0.178955,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"MOVE","slash",0.116785,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",38,1,NA,NA,NA,NA,"SHIFT",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"ONCE","slash",0.165935,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,"Studied",40,2,NA,"Unrelated","NOISE",NA,NA,"3",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"SMOKE","slash",0.198985,"60185fd08459210c3da96976",1,"2021-06-09_14h59.01.306","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
